PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP006552,2023-11-06,Powerco Limited,Oroua Downs Express Feeder.,Establish a new 11kV feeder to improve network security in the Oroua Downs area.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006553,2023-11-06,Powerco Limited,Whalers Gate new Zone Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Whalers Gate area of New Plymouth.,,In procurement,Funded for delivery,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2022-Q1,2024-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006557,2023-11-06,Powerco Limited,North East Industrial establish new substation.,Establish a new zone substation and subtransmission circuits to supply growth in the north-east industrial area of Palmerston North.,,Early planning,Funding source confirmed,To be determined,To be determined,Other,,,Energy,5 - 25 million,,,,,,,2028-Q2,2031-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006563,2023-11-06,Powerco Limited,Oakura substation upgrades.,Upgrade supply capacity to support growth in the Oakura area.,,In planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2025-Q2,2030-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006564,2023-11-06,Powerco Limited,Hawera GXP Outdoor 33kV CBs indoor conversion.,Replace Transpower's 33kV switchgear at Hawera.,,In procurement,Funded for delivery,To be determined,To be determined,Taranaki,,,Energy,1 - 5 million,,,,,,,2020-Q1,2025-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006565,2023-11-06,Powerco Limited,Rongotea new zone substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Rongotea area.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2027-Q2,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006567,2023-11-06,Powerco Limited,Mangatarata - New Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Mangatarata area.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006568,2023-11-06,Powerco Limited,Aongatete zone substation renewal.,Replace zone substation equipment to maintain reliable supply to the Aongatete area.,,In procurement,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2022-Q2,2024-Q4,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006570,2023-11-06,Powerco Limited,Ashhurst substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Ashhurst area.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2027-Q2,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006572,2023-11-06,Powerco Limited,33kV switchboard at Waihi Rd.,Add a 33kV switchboard at Waihi Rd substation (Tauranga) to support growth in the area.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,1 - 5 million,,,,,,,2029-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006574,2023-11-06,Powerco Limited,AUFLS relay replacement.,Replace AUFLS relays to comply with new Electricity Authority requirements.,,In procurement,Funded for delivery,To be determined,To be determined,North Island,,,Energy,1 - 5 million,,,,,,,2021-Q2,2025-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006575,2023-11-06,Powerco Limited,Linton Army Camp zone substation.,Establish a new zone substation to supply growth at the Linton Army Camp.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2029-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006578,2023-11-06,Powerco Limited,New 33kV Line for Linton Army Camp.,Establish new subtransmission circuits to supply growth at the Linton Army Camp.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006580,2023-11-06,Powerco Limited,Cambria substation upgrade.,Upgrade capacity to support growth in the Cambria (Hawera) area.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,1 - 5 million,,,,,,,2035-Q2,2036-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006706,2023-11-06,Powerco Limited,Atuaroa second 33kV circuit.,Atuaroa second 33kV circuit.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006707,2023-11-06,Powerco Limited,Olam Food Ingredients Substation and 33kV Subtransmission Circuit.,33/11kV Substation Construction.,,In planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2023-Q2,2026-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008159,2023-11-06,Powerco Limited,Manaia substation new 33kV and switchboard.,Upgrade substation with second 33kV line to support growth.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2030-Q2,2033-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008842,2023-11-06,Powerco Limited,Arahina New 11kV Switchroom and Second Transformer.,Arahina New 11kV Switchroom and Second Transformer to meet load forecasts.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2022-Q4,2024-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008843,2023-11-06,Powerco Limited,Second Feilding Zone Substation.,Establish a Second Feilding Zone Substation to meet demand.,,In procurement,Funded for delivery,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2023-Q2,2024-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008845,2023-11-06,Powerco Limited,Feilding East and West Line Thermal Upgrades.,Feilding East and West Line thermal upgrades for security and demand.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2026-Q2,2028-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008846,2023-11-06,Powerco Limited,Kinleith 110 kV security constraints.,Kinleith 110 kV security constraints to support load growth.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,25 - 50 million,,,,,,,2023-Q1,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008847,2023-11-06,Powerco Limited,Kopu to Kauaeranga 110kV Line.,Kopu to Kauaeranga 110kV Line construction.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2027-Q2,2030-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008848,2023-11-06,Powerco Limited,Mangatarata/Rawerawe - New Subtransmission Circuit.,New Mangatarata Line to supply new substation.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008849,2023-11-06,Powerco Limited,Marton 33kV Switchboard ODID Conversion.,Marton 33kV Switchboard ODID Conversion to support new transformers and lines.,,In procurement,Funded for delivery,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2020-Q2,2024-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008850,2023-11-06,Powerco Limited,Morrinsville North substation.,Construction of Morrinsville North substation.,,In planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2022-Q2,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008851,2023-11-06,Powerco Limited,Mount Maunganui area security constraints.,Mount Maunganui area security constraints and load growth.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,50 - 100 million,,,,,,,2023-Q1,2031-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008852,2023-11-06,Powerco Limited,ODID Brunswick.,ODID Brunswick.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2024-Q2,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008853,2023-11-06,Powerco Limited,ODID Mataroa.,ODID Mataroa.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2028-Q2,2030-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008854,2023-11-06,Powerco Limited,Omokoroa 33kV Circuit - Sub Construction.,Omokoroa 33kV Circuit - Sub Construction.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2026-Q1,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008855,2023-11-06,Powerco Limited,Piako 33 - Kereone Tee sub-transmission upgrade.,Upgrade of Piako Walton 33kv circuit.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2022-Q4,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008856,2023-11-06,Powerco Limited,Pukepapa Rd 11kV Upgrade and a New UG 33kV.,Upgrade Pukepapa Road 11KV conductors and feeders.,,In procurement,Funded for delivery,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2022-Q3,2024-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008857,2023-11-06,Powerco Limited,Putaruru 110/33 kV increase in security.,Install second 110/33 kV transformer at Putaruru substation.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2024-Q2,2026-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008858,2023-11-06,Powerco Limited,Tauranga area security constraints.,Kaitimako - Tauranga 110 kV circuit & Tauranga substation upgrade.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,50 - 100 million,,,,,,,2023-Q1,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008859,2023-11-06,Powerco Limited,Third 33kV Subtransmission line from BRK GXP.,Third 33kV Subtransmission line from BRK GXP.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2029-Q2,2031-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008860,2023-11-06,Powerco Limited,Valley Spur 110 kV double circuit security and voltage constraints.,Valley Spur 110 kV double circuit security and voltage constraints.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,50 - 100 million,,,,,,,2022-Q4,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP008861,2023-11-06,Powerco Limited,WIEL - New Substation.,New substation to support load increases.,,In procurement,Funded for delivery,To be determined,To be determined,Waikato,,,Energy,5 - 25 million,,,,,,,2021-Q2,2025-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009837,2023-11-06,Powerco Limited,Feilding Sub  3rd 33kV line.,Feilding Sub  3rd 33kV line.,,In planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2025-Q2,2028-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009838,2023-11-06,Powerco Limited,Pahoia (Omokoroa Urban Zone) Substation.,Pahoia/Omokoroa New Substation.,,In procurement,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2023-Q2,2026-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009839,2023-11-06,Powerco Limited,New Egmont Sub to replace Mangorei Regulating Station.,New Egmont Sub to replace Mangorei Regulating Station.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2029-Q2,2033-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009840,2023-11-06,Powerco Limited,Kinleith Bulk Supply.,Putaruru - Maraetai Road 33 kV link.,,Early planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,25 - 50 million,,,,,,,2026-Q2,2030-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009841,2023-11-06,Powerco Limited,New Knoll sub in Bidwells Cutting & Relivening Bidwells 33kV.,New sub in Bidwells Cutting & Relivening Bidwells 33kV.,,Early planning,Funding source confirmed,To be determined,To be determined,Other,,,Energy,5 - 25 million,,,,,,,2024-Q2,2028-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP009842,2023-11-06,Powerco Limited,Inglewood Substation Transformer upgrade.,Inglewood Substation - two Transformer upgrade.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2026-Q2,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP002801,2023-11-15,New Zealand Post Limited,New Zealand Post's future parcel processing network - investment in Auckland property infrastructure.,New Zealand Post is investing in a new world-class parcel processing centre in Wiri  Auckland which opens in 2023.,,Under construction,Funded for delivery,Selective,Other,Auckland,,,Commercial,25 - 50 million,2019-Q4,2020-Q4,,,2021-Q1,2022-Q4,2019-Q4,2024-Q2,,,TeIho@nzpost.co.nz,-37.004775,174.856037
IP002802,2023-11-15,New Zealand Post Limited,New Zealand Post's future parcel processing network - investment in Auckland region.,New Zealand Post is investing in new world-class automated  parcel processing infrastructure and technology for its Auckland and international operations Material Handling Solution.,,Under construction,Funding source confirmed,Open,Design and construct,Auckland,,,Commercial,100 - 250 million,2019-Q4,2020-Q4,2018-Q4,2020-Q4,2021-Q1,2023-Q4,2019-Q4,2024-Q2,,,TeIho@nzpost.co.nz,-37.004775,174.856037
IP002805,2023-11-15,New Zealand Post Limited,New Zealand Post's future parcel processing network - investment in technology solutions.,New Zealand Post is investing in new world-class parcel sortation technology solutions in Auckland Central Super Depot  to continue to be the best delivery business in New Zealand.,,Under construction,Funding source confirmed,Selective,Design and construct,Auckland,,,Commercial,25 - 50 million,2019-Q4,2020-Q4,2019-Q4,2020-Q4,2020-Q4,2024-Q1,2019-Q4,2024-Q2,,,TeIho@nzpost.co.nz,,
IP006533,2023-11-15,New Zealand Post Limited,New Zealand Post's future parcel processing network - investment in Auckland property infrastructure.,New Zealand Post is investing in a new parcel processing site in Rosedale  Auckland for its new Auckland North Shore Super Depot to open in mid 2024.,,Under construction,Funding source confirmed,Selective,Design and construct,Auckland,,,Commercial,25 - 50 million,2020-Q4,2021-Q3,,,2021-Q4,2024-Q3,2020-Q4,2024-Q4,,,TeIho@nzpost.co.nz,-36.74726975,174.7060254
IP006627,2023-11-22,Wellington City Council,Transitional Cycleway: Newtown to City.,Tactical and iterative delivery of a high-quality interim cycleway between Newton and Waitangi Park.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Transport,1 - 5 million,,,,,,,2021-Q3,2024-Q1,,,,,
IP006628,2023-11-22,Wellington City Council,Transitional Cycleway: Botanic Gardens to Waterfront.,Tactical and iterative delivery of a high-quality interim cycleway between Wellington Botanic Gardens (Tinakroi Road) and Wellington waterfront.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Transport,1 - 5 million,,,,,,,2021-Q3,2023-Q4,,,,,
IP006629,2023-11-22,Wellington City Council,Te Matapihi ki te Ao Nui (Central Library).,Structural remediation and refurbishment of the existing building to enhance resilience  NBS rating and library services.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Community facilities,100 - 250 million,,,,,,,2021-Q3,2026-Q2,,,,,
IP006630,2023-11-22,Wellington City Council,Frank Kitts Park Playground.,Playground development with enhanced accessibility and safety.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2020-Q4,2024-Q2,,,,,
IP006632,2023-11-22,Wellington City Council,Wellington Town Hall Redevelopment.,Earthquake strengthening and upgrading.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Community facilities,250 - 500 million,,,,,,,2019-Q1,2028-Q1,,,,,
IP006633,2023-11-22,Wellington City Council,Island Bay Parade Upgrade.,Road and cycleway layout changes to improve safety and accessibility.,,Under construction,Funded for delivery,To be determined,To be determined,Wellington,,,Transport,5 - 25 million,,,,,,,2021-Q3,2024-Q3,,,,,
IP006638,2023-11-22,Wellington City Council,Sludge Minimisation Facility.,Establish a new Sludge Minimisation Facility to enable de-coupling from the existing disposal to the Southern Landfill.,,In procurement,Funded for delivery,To be determined,Early contractor involvement,Wellington,,,Waste management,250 - 500 million,,,,,,,2021-Q3,2026-Q2,,,,,
IP006639,2023-11-22,Wellington City Council,Begonia House and Café.,Develop the Begonia House  Café and Visitor Facilities at the Wellington Botanic Garden ki Pākāka.,,In planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2022-Q3,2027-Q3,,,,,
IP006640,2023-11-22,Wellington City Council,Frederick Street pocket park.,Develop small inner city park in line with Green Network Plan.,,In planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,1 - 5 million,,,,,,,2022-Q3,2026-Q1,,,,,
IP006641,2023-11-22,Wellington City Council,Southern Landfill Improvement - Stage 4 Landfill Ext.,Extension of Southern Landfill post 2026 to ensure continued disposal of residual waste for Wellington City.,,In planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Waste management,25 - 50 million,,,,,,,2022-Q3,2026-Q2,,,,,
IP006642,2023-11-22,Wellington City Council,Southern Landfill Infrastructure Renewals.,Upgrade stormwater tunnel beneath Southern Landfill (not a Wellington Water project).,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Waste management,1 - 5 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP006643,2023-11-22,Wellington City Council,Mark Ave to Grenada North.,New road to connect north and south parts of Lincolnshire Farm suburb development.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Transport,5 - 25 million,,,,,,,2024-Q3,2026-Q2,,,,,
IP006644,2023-11-22,Wellington City Council,Build Wellington - FKP Garden Development.,Frank Kitts Park development including Chinese Garden and Fale Malae.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP006645,2023-11-22,Wellington City Council,Makara Cemetery Expansion.,Expand and develop Makara Cemetery to meet future growth and demand for interment.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2023-Q3,2026-Q2,,,,,
IP006646,2023-11-22,Wellington City Council,Grenada North Community Sports Hub.,Develop Grenada North Park into a Community Sports Hub including investment in Synthetic Turf.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2023-Q3,2028-Q4,,,,,
IP006647,2023-11-22,Wellington City Council,Khandallah Swimming Pool Upgrade.,Replacement of Khandallah Pool.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2023-Q3,2025-Q4,,,,,
IP006648,2023-11-22,Wellington City Council,Bond Store Upgrade.,Seismic strengthening the Bond Store  which is the home of the Wellington Museum.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2022-Q3,2026-Q2,,,,,
IP008127,2023-11-22,Wellington City Council,Destination Skate Park - Kilbirnie Park.,Skate park facility at Kilbirnie Park.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Community facilities,5 - 25 million,,,,,,,2023-Q3,2025-Q2,,,,,
IP008128,2023-11-22,Wellington City Council,Build Wellington - Shelly Bay Road.,Shelly Bay Road upgrade.,,Early planning,Funding source confirmed,To be determined,To be determined,Wellington,,,Transport,1 - 5 million,,,,,,,2023-Q3,2025-Q3,,,,,
IP000612,2023-11-23,Hamilton City Council,Peacocke River Bridge and Northern Arterials Construction - Hamilton.,Construction of a new major arterial roading connection into the Hamilton greenfield growth area of Peacocke - including a bridge across the Waikato River.,,Under construction,Funded for delivery,Open,Construct only,Waikato,,,Transport,100 - 250 million,2017-Q3,2018-Q2,2019-Q4,2020-Q3,2020-Q4,2024-Q2,2020-Q3,2025-Q2,https://www.hamilton.govt.nz/our-city/city-development/peacocke/Pages/default.aspx,,kelly.stokes@hcc.govt.nz,-37.804261,175.31161
IP000614,2023-11-23,Hamilton City Council,Peacocke Strategic Wastewater Storage and Pump Station - Hamilton.,This project is the construction of a new major pump station and associated storage.,,Under construction,Funded for delivery,Open,Construct only,Waikato,,,Water,25 - 50 million,2017-Q3,2018-Q2,2021-Q1,2020-Q3,2022-Q1,2024-Q1,2021-Q4,2025-Q2,https://www.hamilton.govt.nz/our-city/city-development/peacocke/Pages/default.aspx,,kelly.stokes@hcc.govt.nz,-37.812843,175.307904
IP000615,2023-11-23,Hamilton City Council,Peacocke East/West Roading Arterial Construction - Hamilton.,This project is the construction of a new major arterial roading connection into the Hamilton greenfield growth area of Peacocke - including some significant gully crossings. (Whatukooruru).,,Under construction,Funded for delivery,Open,Construct only,Waikato,,,Transport,50 - 100 million,2017-Q3,2018-Q2,2022-Q1,2022-Q3,2022-Q4,2025-Q4,2022-Q4,2026-Q4,https://www.hamilton.govt.nz/our-city/city-development/peacocke/Pages/default.aspx,,kelly.stokes@hcc.govt.nz,-37.823021,175.309287
IP000618,2023-11-23,Hamilton City Council,Hamilton Water Treatment Plant Capacity Upgrade.,The project is to upgrade existing water treatment plant with additional sedimentation and filtration capacity. Membrane supply contract in-place  civil/structural contract in-place. Project scheduled completion date of August 2024.,,Under construction,Funded for delivery,Open,Construct only,Waikato,,,Water,25 - 50 million,2016-Q3,2019-Q4,2020-Q4,2021-Q1,2022-Q2,2024-Q2,2022-Q4,2024-Q3,https://www.hamilton.govt.nz/our-city/city-development/Pages/default.aspx,,kelly.stokes@hcc.govt.nz,-37.808472,175.306994
