PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP006670,15/09/2023,Bay of Plenty Regional Council,Tarawera Stopbank Construction.,Upgrade of existing stopbanks in the lower Tarawera River catchment in accordance with Rivers and Drainage asset management plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2022-Q1,2024-Q2,2020-Q3,2024-Q2,,,,,
IP006671,15/09/2023,Bay of Plenty Regional Council,Rangitāiki River Floodwalls Construction.,Replacement of College Rd floodwall in Edgecumbe.,,Under construction,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2022-Q3,2023-Q2,2020-Q3,2023-Q2,,,,,
IP008138,15/09/2023,Bay of Plenty Regional Council,Rangitāiki Spillway.,A weir type control structure that will release floodwaters into the Rangitāiki Floodway.,,In procurement,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2022-Q1,2024-Q2,2013-Q3,2024-Q2,,,,,
IP006673,15/09/2023,Bay of Plenty Regional Council,Culvert replacements - Rangitāiki Drainage Scheme.,replace culverts that have reached the end of their expected lives.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,< 1 million,2020-Q4,2021-Q2,,,2022-Q3,2023-Q2,2020-Q4,2024-Q2,,,,,
IP006674,15/09/2023,Bay of Plenty Regional Council,Eastern Drain Construction.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,< 1 million,2020-Q4,2021-Q2,,,2022-Q3,2023-Q2,2020-Q4,2023-Q2,,,,,
IP009715,30/06/2023,Connexa Limited ,Mobile Tower Build Programme.,Minimum of 670 new mobile tower sites to be built over the next decade. This project will underpin the growth of our digital economy and enable businesses in Aotearoa to innovate and grow.,,Under construction,Funded for delivery,Selective,Design and construct,Nationwide,,,Communications,100 - 250 million,,,,,,,2022-Q2,2033-Q2,www.connexa.co.nz,,,,
IP009769,27/06/2023,Hawke's Bay Regional Council,HBRC Water Security Programme – Heretaunga Flow Enhancement Scheme.,Long term water supply security for region.,,In Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,5 - 25 Million,,,,,,,2020-Q1,2023-Q1,,,Ken Mitchell / Sue Baillie,-39.63,176.74
IP009770,27/06/2023,Hawke's Bay Regional Council,Ahuriri Regional Park.,Development of the park (with other stakeholders) NCC lead.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,5 - 25 Million,,,,,,,2021-Q1,2031-Q1,,,Ken Mitchell / Sue Baillie,-39.49,176.86
IP009771,27/06/2023,Hawke's Bay Regional Council,HBRC Water Security Programme –Tukituki Water Security Projects.,Regional water security (IRG).,,In Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2020-Q1,2023-Q1,,,Ken Mitchell / Sue Baillie,-39.95,176.51
IP009772,27/06/2023,Hawke's Bay Regional Council,Hawea Park - Stage 3.,3 Further development of Hawea Historical Park consistent with original approved 2017 plan.,,In Planning,Funding source confirmed,Selective,To be determined,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2021-Q1,2024-Q1,,,Ken Mitchell / Sue Baillie,-39.6,176.87
IP009773,27/06/2023,Hawke's Bay Regional Council,Waitangi Regional Park - Stage 3.,Final stage of the Waitangi Regional Park.,,In Planning,Funding source confirmed,To be determined,To be determined,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2021-Q1,2024-Q1,,,Ken Mitchell / Sue Baillie,-39.56,176.92
IP009774,27/06/2023,Hawke's Bay Regional Council,Karamū enhancement.,Enhancement of the Karamū stream.,,Under Construction,Funding source confirmed,Selective,Design and construct,Hawke's Bay,,,Community Facilities,1 - 5 Million,,,,,,,2021-Q1,2031-Q1,,,Ken Mitchell / Sue Baillie,-39.63,176.89
IP009775,27/06/2023,Hawke's Bay Regional Council,Ngaruroro Cycleway Explorer.,Link cycleway from Taradale to Hastings winery ride. (joint venture with HBRC / NZTA).,,In Planning,Funding source to be confirmed,Selective,Design and construct,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q1,2024-Q2,,,Ken Mitchell / Sue Baillie,-39.87,176.82
IP009776,27/06/2023,Hawke's Bay Regional Council,Karumu Cycleway extension.,Link cycleway from Havelock North to winery ride; Stock Road (joint venture with NZTA / HDC / HBRC).,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Community Facilities,1 - 5 Million,,,,,,,2024-Q3,2025-Q2,,,Ken Mitchell / Sue Baillie,-39.66,176.88
IP009777,27/06/2023,Hawke's Bay Regional Council,Wairoa Regional Park development.,Park development along Wairoa River as per consent plan completed in 2017.,,Early Planning,Funding source confirmed,To be determined,To be determined,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q1,2025-Q1,,,Ken Mitchell / Sue Baillie,-39.04,177.42
IP009778,27/06/2023,Hawke's Bay Regional Council,Opoho - new pump station.,Upgrade and build of new pump station subject to scheme review.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,< 1 Million,,,,,,,2022-Q1,2023-Q1,,,Ken Mitchell / Sue Baillie,-39.04,177.58
IP009779,27/06/2023,Hawke's Bay Regional Council,Ohuia - Whakakī - new pump station.,Upgrade and build of new pump station subject to scheme review.,,In Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,< 1 Million,,,,,,,2021-Q1,2022-Q1,,,Ken Mitchell / Sue Baillie,-39.04,177.48
IP009780,27/06/2023,Hawke's Bay Regional Council,Flood Control / Drainage scheme - Heretaunga Flood Control Scheme delivery.,Upgrades from drainage scheme reviews.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,250 - 500 Million,,,,,,,2024-Q3,2034-Q2,,,Ken Mitchell / Sue Baillie,-39.61,176.85
IP009781,27/06/2023,Hawke's Bay Regional Council,Flood Control / Drainage scheme - Upper Tukituki Flood Control Scheme delivery.,Upgrades from drainage scheme reviews.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,100 - 250 Million,,,,,,,2024-Q3,2034-Q2,,,Ken Mitchell / Sue Baillie,-39.94,176.94
IP009782,27/06/2023,Hawke's Bay Regional Council,Flood Control / Drainage scheme - Warioa Flood Control Scheme delivery.,Upgrades from drainage scheme reviews.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,100 - 250 Million,,,,,,,2024-Q3,2034-Q2,,,Ken Mitchell / Sue Baillie,-39.04,177.42
IP009783,27/06/2023,Hawke's Bay Regional Council,Development / Coastal Hazards.,Setting up coastal AM scheme and implement coastal management strategy.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2023-Q3,2032-Q3,,,Ken Mitchell / Sue Baillie,-39.58,176.84
IP009784,27/06/2023,Hawke's Bay Regional Council,Catchment Management.,BAU catchment management activities.,,In Planning,Funded for delivery,Selective,Other,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2022-Q3,2032-Q3,,,Ken Mitchell / Sue Baillie,-39.58,176.84
IP009785,27/06/2023,Hawke's Bay Regional Council,Flood Protection and Control Works.,BAU - annual maintenance programme along with capital replacement programme.,,In Planning,Funded for delivery,Selective,Other,Hawke's Bay,,,Water,50 - 100 Million,,,,,,,2023-Q3,2031-Q2,,,Ken Mitchell / Sue Baillie,-39.58,176.84
IP009786,27/06/2023,Hawke's Bay Regional Council,Clive River Dredging - land to dispose.,Land to dispose material.,,Under Construction,Funding source to be confirmed,To be determined,Other,Hawke's Bay,,,Waste management,1 - 5 Million,,,,,,,2021-Q3,2025-Q2,,,Ken Mitchell / Sue Baillie,-39.58,176.92
IP009787,27/06/2023,Hawke's Bay Regional Council,Forestry.,Replanting of harvested forests.,,Early Planning,Funding source to be confirmed,Selective,Design and construct,Hawke's Bay,,,Environmental,< 1 Million,,,,,,,2023-Q3,2024-Q2,,,Stevie Smidt,-39.58,176.84
IP009788,27/06/2023,Hawke's Bay Regional Council,Flood Models - regular exciting updating (software  datum  catchment change).,Regular maintenance update of exciting flood models.,,Early Planning,Funding source to be confirmed,Selective,Other,Hawke's Bay,,,Water,< 1 Million,,,,,,,2023-Q3,2031-Q2,,,Craig Goodier,-39.58,176.84
IP009789,27/06/2023,Hawke's Bay Regional Council,Wairoa playground riverside sheet pile wall replacement.,Replacement of WDC playground riverside sheet pile wall.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2023-Q3,2025-Q2,,,Ken Mitchell / Sue Baillie,-39.04,177.42
IP009790,27/06/2023,Hawke's Bay Regional Council,Open Spaces_Park beautification programme.,Planting and facilities.,,In Planning,Funding source confirmed,Selective,Design and construct,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q1,2024-Q2,,,Ken Mitchell / Sue Baillie,-39.6,176.87
IP009791,27/06/2023,Hawke's Bay Regional Council,Westshore gravel bund increased resilience to storm events.,Substantially strengthen the gravel bund at Westshore.,,Early Planning,Funding source to be confirmed,Selective,Design and construct,Hawke's Bay,,,Water,< 1 Million,,,,,,,2024-Q3,2026-Q2,,,Jose Beya,-39.47,176.88
IP009792,27/06/2023,Hawke's Bay Regional Council,Westshore south corner coastal erosion protection.,Design and Build coastal erosion protection at the Westshore south corner.,,Early Planning,Funding source to be confirmed,Selective,Design and construct,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2024-Q3,2026-Q2,,,Jose Beya,-39.47,176.88
IP009793,27/06/2023,Hawke's Bay Regional Council,East Clive and Haumoana groynes re-design and maintenance.,Carry out a review of the current designs and performance of the groynes  develop a new design standard and carry out maintenance according to those new standards.,,Early Planning,Funding source to be confirmed,Selective,Design and construct,Hawke's Bay,,,Water,< 1 Million,,,,,,,2024-Q3,2026-Q2,,,Jose Beya,-39.6,176.93
IP009794,27/06/2023,Hawke's Bay Regional Council,Westshore Coastal Protection.,Annual Renourishment/construction of erosion protection.,,In procurement,Funded for delivery,Selective,Other,Hawke's Bay,,,Water,< 1 Million,,,,,,,2023-Q3,2023-Q4,,,Jon Kingsford,-39.48,176.88
IP009795,27/06/2023,Hawke's Bay Regional Council,Plantation Pumpstation.,Pumpstation Structural Rebuild.,,In planning,Funded for delivery,Selective,Design and construct,Hawke's Bay,,,Water,1 - 5 Million,,,,,,,2023-Q3,2024-Q2,,,Jon Kingsford,-39.5,176.89
IP009796,27/06/2023,Hawke's Bay Regional Council,Waitangi Regional Park Reserve Access.,improve public access to river.,,In planning,Funded for delivery,To be determined,Other,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q3,2024-Q2,,,Jon Kingsford,-39.57,176.92
IP009797,27/06/2023,Hawke's Bay Regional Council,Waitangi Regional Park Toilet Block.,Installation of toilet block  water supply and solar power.,,In planning,Funded for delivery,Selective,Design and construct,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q3,2024-Q2,,,Jon Kingsford,-39.57,176.92
IP009798,27/06/2023,Hawke's Bay Regional Council,Clive River Fico Removal.,Removal of aquatic pest from SH bridge abutments.,,In planning,Funded for delivery,Selective,Other,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2024-Q3,2025-Q2,,,Jon Kingsford,-39.58,176.92
IP009799,27/06/2023,Hawke's Bay Regional Council,Whakaki Weir.,Install weir for lagoon level control.,,Under construction,Funded for delivery,Selective,Other,Hawke's Bay,,,Water,< 1 Million,,,,,,,2024-Q1,2024-Q2,,,Jon Kingsford,-39.04,177.53
IP009800,27/06/2023,Hawke's Bay Regional Council,Makara Dam Desiltation.,Remove silt buildup from detention dam basin  improve access  repair weir.,,Early planning,Funding source confirmed,Selective,Other,Hawke's Bay,,,Water,< 1 Million,,,,,,,2024-Q1,2024-Q4,,,Jon Kingsford,-39.91,176.87
IP009801,27/06/2023,Hawke's Bay Regional Council,Karamu Enhancement Project.,Pathway erosion protection and planting next to Karamu Stream.,,In planning,Funding source to be confirmed,Selective,Other,Hawke's Bay,,,Water,< 1 Million,,,,,,,2024-Q1,2024-Q4,,,Jon Kingsford,-38.62,176.88
IP009802,27/06/2023,Hawke's Bay Regional Council,Taradale Carpark PUR.,Reinstate the car park after the stopbank upgrade.,,In planning,Funding source confirmed,Selective,Other,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2023-Q3,2024-Q2,,,Jon Kingsford,-39.55,176.86
IP009803,27/06/2023,Hawke's Bay Regional Council,Ahuriri Regional Park Cycleway future enhancement.,Proposed Ahuriri Regional Park cycleway enhancement (Study).,,Early Planning,Funding source to be confirmed,Selective,To be determined,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2024-Q3,2024-Q4,,,Ken Mitchell / Sue Baillie,-39.49,176.86
IP009804,27/06/2023,Hawke's Bay Regional Council,Esk Valley Feasibility Cycleway study.,Future green space (feasibility study).,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Community Facilities,< 1 Million,,,,,,,2025-Q3,2026-Q2,,,Ken Mitchell / Sue Baillie,-39.39,176.85
IP009805,27/06/2023,Hawke's Bay Regional Council,Whakakī Lower Catchment Pilot Project deal.,Working with local iwi groups to manage land use and flood control options in the Whakaki Lagoon area.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Hawke's Bay,,,Other not specified,< 1 Million,,,,,,,2020-Q1,2023-Q1,,,Ken Mitchell / Sue Baillie,-39.04,177.53
IP005992,3/03/2023,Mcconnell Property,Build to Rent - Gasometer Takapuna.,Market leading 'Build to Rent' residential development of 350 apartments  shared amenity and retail/commercial in Takapuna. A critical step of Eke Panuku's plan for the regeneration of Takapuna as identified in the Takapuna Framework Plans.,,In planning,Funding source to be confirmed,To be determined,To be determined,Auckland,,,Housing,250 - 500 million,,,,,,,2021-Q2,2026-Q3,,,reception@mpl.co.nz,,
IP008637,15/03/2023,Orion New Zealand Ltd,66kV cable install - Armagh ZS to Oxford-Tuam ZS.,As part of our resilience strategy we are replacing our 66kV oil filled cables. This project is the installation of new cables aligned with our subtransmission network architecture.,,Early planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Energy,5 - 25 million,,,,,,,2027-Q2,2029-Q1,https://www.oriongroup.co.nz/corporate/corporate-publications/asset-management-plans/,,,,
IP008638,15/03/2023,Orion New Zealand Ltd,Runners Rd and Dunns Crossing Rd 11kV cable install.,As part of the Burnham ZS construction occurring on Burnham School Rd (primary key IP006721) there are 11kV cable distribution projects to utilise the new capacity and reinforce the network. These projects will require excavation works from the new Orion.,,In planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Energy,5 - 25 million,,,,,,,2023-Q2,2026-Q1,https://www.oriongroup.co.nz/corporate/corporate-publications/asset-management-plans/,,,,
IP008639,15/03/2023,Orion New Zealand Ltd,Shands and Hamptons Rd roundabout 33kV.,We are undergrounding the 33kV overhead network to coordinate with SDC's roundabout installment on Shands Rd for the Hamptons Rd intersection.,,In planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Energy,1 - 5 million,,,,,,,2023-Q2,2024-Q1,https://www.oriongroup.co.nz/corporate/corporate-publications/asset-management-plans/,,,,
IP009716,18/07/2023,Thames-Coromandel District Council,Whangamata Boardwalk Extension Esplanade Drive.,Construct a boardwalk approximately 980m in length from the surf Club (Access 9) to Island View Reserve (Access14) at Whangamata.,,Early Planning,Funding source confirmed,To be determined,Construct only,Waikato,,,Community Facilities,1 - 5 Million,,,,,2019-Q3,2025-Q2,2019-Q3,2025-Q2,,,,,
IP009717,18/07/2023,Thames-Coromandel District Council,Cormandel Wharf renewal.,Improved facility management leading to an improved user experience. Council working with local community and industry to improve facilities and make them fit for purpose.,,Early Planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Community Facilities,1 - 5 Million,,,,,,,2025-Q3,2028-Q2,,,,,
IP009718,18/07/2023,Thames-Coromandel District Council,Thames Sports Precinct.,To move the sportsfields and create a multipurpose building at a sports precinct located at Council owned land.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Waikato,,,Community Facilities,5 - 25 Million,,,,,,,2024-Q3,2028-Q2,,,,,
IP009719,18/07/2023,Thames-Coromandel District Council,Thames sub-regional pool.,To provide a year round swimming facility in Thames.,,Early Planning,Funding source to be confirmed,To be determined,To be determined,Waikato,,,Community Facilities,5 - 25 Million,,,,,,,2025-Q3,2027-Q2,,,,,
IP009720,18/07/2023,Thames-Coromandel District Council,Whitianga explanade reclamation.,Consult and propose the development of the reclamation boat ramp.,,Early Planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Community Facilities,5 - 25 Million,,,,,,,2027-Q3,2030-Q2,,,,,
IP009721,18/07/2023,Thames-Coromandel District Council,Te Kouma Rd intersection.,Upgrade intersection to cater for increased traffic for Sugar loaf wharf at Te Kouma  Coromandel.,,Under Construction,Funded for delivery,Open,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2019-Q2,2025-Q2,2019-Q2,2025-Q2,,,,,
IP009722,18/07/2023,Thames-Coromandel District Council,Coromandel township bypass.,Bypass to avoid Coromandel town centre.,,In Planning,Funding source confirmed,To be determined,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2023-Q2,2025-Q2,2023-Q2,2025-Q2,,,,,
IP009723,18/07/2023,Thames-Coromandel District Council,Nib kerb construction.,Whangamata - Installation of nib kerb and mountable kerb and channel.,,Under Construction,Funded for delivery,Open,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2018-Q4,2026-Q2,2018-Q4,2026-Q2,,,,,
IP009724,18/07/2023,Thames-Coromandel District Council,Minor safey improvements.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009725,18/07/2023,Thames-Coromandel District Council,Area-wide pavement treatment.,Road rehabilitation projects identified and tendered yearly.,,Under Construction,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009726,18/07/2023,Thames-Coromandel District Council,Unsealed road wearing course replacement.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009727,18/07/2023,Thames-Coromandel District Council,Unsealed road basecourse replacement.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009728,18/07/2023,Thames-Coromandel District Council,Major drainage control.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009729,18/07/2023,Thames-Coromandel District Council,Maintenance chip seals.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009730,18/07/2023,Thames-Coromandel District Council,Thin AC surfacing.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009731,18/07/2023,Thames-Coromandel District Council,Bridge compenent replacement.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009732,18/07/2023,Thames-Coromandel District Council,Preventative maintenance.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009733,18/07/2023,Thames-Coromandel District Council,Traffic services.,Annual ongoing maintenance to roading network to maintain level of service.,,Under Construction,Funded for delivery,Direct,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2021-Q3,2031-Q2,2021-Q3,2031-Q2,,,,,
IP009734,18/07/2023,Thames-Coromandel District Council,Maintenance extents structures and culvert upgrades.,Achieve minimum level of safety on Council roads (including paper roads) by ensuring all structures are sound and do not put the public at risk.,,Under Construction,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,,,2026-Q3,2031-Q2,,,,,
IP009735,18/07/2023,Thames-Coromandel District Council,July 22 Storm event.,Approved out of cycle request by Council.,,In Planning,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2022-Q4,2024-Q2,2022-Q4,2024-Q2,,,,,
IP009736,18/07/2023,Thames-Coromandel District Council,October 22 Storm event.,Approved out of cycle request by Council.,,In Planning,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,< 1 Million,,,,,2022-Q4,2024-Q2,2022-Q4,2024-Q2,,,,,
IP009737,18/07/2023,Thames-Coromandel District Council,November 22 Storm event.,Approved out of cycle request by Council.,,In Planning,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,1 - 5 Million,,,,,2023-Q1,2024-Q2,2023-Q1,2024-Q2,,,,,
IP009738,18/07/2023,Thames-Coromandel District Council,February 2021 Storm event.,Approved out of cycle request by Council.,,Under Construction,Funded for delivery,Open,Construct only,Waikato,,,Transport,< 1 Million,,,,,2021-Q2,2024-Q2,2021-Q2,2024-Q2,,,,,
IP009740,18/07/2023,Thames-Coromandel District Council,January 2023 storm event.,Approved out of cycle request by Council - Cyclone Hale.,,In Planning,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,,,2023-Q3,2026-Q2,,,,,
IP009741,18/07/2023,Thames-Coromandel District Council,February 2023 storm event.,Approved out of cycle request by Council - Cyclone Gabrielle.,,In Planning,Funded for delivery,To be determined,Construct only,Waikato,,,Transport,5 - 25 Million,,,,,,,2023-Q3,2026-Q2,,,,,
IP009742,18/07/2023,Thames-Coromandel District Council,Whitianga refuse transfer station.,Construction of new refuse transfer station.,,Under Construction,Funded for delivery,Open,Design and construct,Waikato,,,Waste Management,1 - 5 Million,,,,,2020-Q3,2024-Q2,2020-Q3,2024-Q2,,,,,
IP009743,18/07/2023,Thames-Coromandel District Council,Universal metering.,Install universal water meters to all the reticulation networks throughout the district.,,Under Construction,Funded for delivery,Open,Construct only,Waikato,,,water,5 - 25 Million,,,,,2021-Q1,2028-Q2,2021-Q1,2028-Q2,,,,,
