PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP002812,20/12/2023,Auckland Transport,Glen Innes to Tamaki Drive Scheme C-Way Section 4a&b.,Provision of an off road Cycle highway from Glen Innes Rail Station to Tamaki Drive.,,In procurement,Fully funded,Selective,Other,Auckland,,,Transport,25 - 50 million,2019-Q2,2019-Q4,2021-Q1,2021-Q2,2021-Q2,2023-Q1,2011-Q4,2023-Q3,https://at.govt.nz/projects-roadworks/glen-innes-to-tamaki-drive-shared-path/,,,,
IP002817,20/12/2023,Auckland Transport,Glen Innes C-Way - Package 1 - Links to Public Transport.,New infrastructure (including cycle parking) to integrate travel between active travel modes and public transport in Glen Innes.,,Under construction,Fully funded,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,,,2022-Q3,2022-Q4,2023-Q3,2015-Q3,2023-Q4,https://at.govt.nz/projects-roadworks/links-to-glen-innes-cycleways/,,,,
IP002818,20/12/2023,Auckland Transport,Glen Innes C-Way - Package 2 - Links to Public Transport.,New infrastructure (including cycle parking) to integrate travel between active travel modes and public transport in Glen Innes.,,In planning,Fully funded,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,2022-Q3,2022-Q4,2023-Q1,2023-Q1,2023-Q3,2015-Q3,2023-Q4,https://at.govt.nz/projects-roadworks/links-to-glen-innes-cycleways/,,,,
IP002820,20/12/2023,Auckland Transport,Pt Chevalier - Herne Bay C-Way.,This project address an infrastructure deficit and improve accessibility providing a basic network of cycle facility.,,In procurement,Fully funded,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,2022-Q3,2022-Q4,2023-Q3,2023-Q3,2025-Q1,2015-Q3,2023-Q1,https://at.govt.nz/projects-roadworks/pt-chevalier-to-westmere/,,,,
IP002822,20/12/2023,Auckland Transport,Matakana Link Road.,Connect Matakana Road and SH1. This alternative route bypass the SH1 / Hill Street intersection.,,Under construction,Fully funded,Selective,Construct only,Auckland,,,Transport,25 - 50 million,,,2019-Q3,2020-Q2,2020-Q2,2022-Q4,2018-Q3,2023-Q4,https://at.govt.nz/projects-roadworks/matakana-link-road/,,,,
IP002824,20/12/2023,Auckland Transport,Tamaki Ngapipi Intersection Safety Imp.,To improve the pedestrian and cycle connection on Ngapipi Bridge adjacent to the Tāmaki Drive/ Ngapipi Road intersection.,,In planning,Fully funded,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,,,,2022-Q4,2023-Q3,2019-Q3,2023-Q4,https://at.govt.nz/projects-roadworks/tamaki-drive-improvements/tamaki-drive-and-ngapipi-road-intersection/,,,,
IP002825,20/12/2023,Auckland Transport,Kumeu-Huapai SHA - Access Road - Phase 1.,Upgrade of Access Road; Developer to upgrade level crossing at Access Road and install pedestrian overbridge between SHA and Matua Road shops.,,Under construction,Funding source confirmed,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,,2022-Q3,2022-Q3,2022-Q4,2023-Q3,2016-Q3,2023-Q3,https://at.govt.nz/projects-roadworks/huapai-triangle-special-housing-area/,,,,
IP002826,20/12/2023,Auckland Transport,Kumeu-Huapai SHA - Station Road.,Upgrade of Access Road; Developer to upgrade level crossing at Access Road and install pedestrian overbridge between SHA and Matua Road shops.,,In procurement,Funding source confirmed,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,2022-Q2,2022-Q2,2022-Q4,2023-Q1,2023-Q4,2016-Q3,2023-Q4,https://at.govt.nz/projects-roadworks/huapai-triangle-special-housing-area/,,,,
IP002830,20/12/2023,Auckland Transport,Short-term Airport Access.,Localised Bus Priorties from New Lynn  Onehunga  Botany and Sylvia Park to the Airport.,,Under construction,Fully funded,Selective,Construct only,Auckland,,,Transport,5 - 25 million,,,2020-Q2,2020-Q4,2020-Q4,2024-Q2,2019-Q2,2022-Q4,https://at.govt.nz/projects-roadworks/airport-to-botany-rapid-transit/,,,,
IP008203,20/12/2023,Auckland Transport,Rosedale and Constellation Bus Stations.,A new Rosedale bus station  and improvements to the existing Constellation bus station  associated with the extension of the Northern Busway to Albany.,,Under construction,Fully funded,To be determined,Construct only,Auckland,,,Transport,50 - 100 million,,,,,2020-Q1,2025-Q2,2018-Q3,2025-Q2,,,,,
IP008205,20/12/2023,Auckland Transport,Midtown Bus Improvements.,Delivery of bus infrastructure in the CBD  including bus priority along Wellesley Street  a new learning Quarter bus interchange.,,In planning,Fully funded,To be determined,Construct only,Auckland,,,Transport,100 - 250 million,2021-Q3,2022-Q4,2023-Q1,2023-Q2,2024-Q1,2024-Q2,2021-Q3,2031-Q2,,,,,
IP008206,20/12/2023,Auckland Transport,Northwest Bus Improvements.,Bus Station at Westgate and bus stops at Lincoln Road and Te Atatu motorway interchanges. This will be delivered with part-funding from the COVID Response and Recovery Fund.,,Under construction,Fully funded,To be determined,Construct only,Auckland,,,Transport,50 - 100 million,2021-Q3,2022-Q4,2021-Q3,2023-Q2,2021-Q3,2026-Q2,2021-Q3,2031-Q2,,,,,
IP008208,20/12/2023,Auckland Transport,Carrington Road Improvements.,Provision of intersection improvements  bus lanes and new bus facilities to support the UNITEC precinct redevelopment in Mt Albert.,,In planning,Funding source confirmed,To be determined,Construct only,Auckland,,,Transport,50 - 100 million,2022-Q3,2023-Q2,2027-Q1,2027-Q2,2027-Q3,2029-Q2,2026-Q3,2029-Q2,,,,,
IP008210,20/12/2023,Auckland Transport,Albert and Vincent Street Bus Priority Improvements.,Bus priority measures on Albert and Vincent Streets to improve journey time and reliability between Karangahape Road and Britomart.,,In procurement,Fully funded,To be determined,Construct only,Auckland,,,Transport,5 - 25 million,2024-Q1,,,,2024-Q3,2025-Q1,2028-Q3,2025-Q2,,,,,
IP008215,20/12/2023,Auckland Transport,Ormiston Town Centre Link.,A new road link to provide shorter access towards the emerging Ormiston Town Centre. This includes walking and cycling facilities.,,Under construction,Fully funded,To be determined,Construct only,Auckland,,,Transport,5 - 25 million,,,,,2021-Q3,2023-Q2,2021-Q3,2030-Q2,,,,,
IP008219,20/12/2023,Auckland Transport,Hill Street Intersection Improvement.,Upgrade and reconfiguration of two intersections on State Highway 1 and Sandspit Road in Warkworth  to improve movement for all modes.,,In planning,Funding source to be confirmed,To be determined,Construct only,Auckland,,,Transport,5 - 25 million,2021-Q4,2023-Q1,,,,,2021-Q3,2025-Q2,,,,,
IP008220,20/12/2023,Auckland Transport,Eastern Busway Stages 2 to 3.,Completion of the Rapid Transit Busway  including the Reeves Road flyover  new bus interchanges at Pakuranga and Botany and associated safety and cycling works  which will create faster  more reliable transport options for communities in East and South Auckland.,,Under construction,Fully funded,To be determined,Alliance,Auckland,,,Transport,500 million - 1 billion,,,,,2022-Q3,2029-Q2,2021-Q3,2029-Q2,,,,,
IP009904,20/12/2023,Auckland Transport,Flood/Storm Recovery.,Asset renewals and maintenance in response to adverse weather events.,,Under construction,Fully funded,To be determined,Construct only,Auckland,,,Transport,250 - 500 million,,,,,2023-Q1,2027-Q4,2023-Q1,2027-Q4,,,,,
IP010698,14/03/2025,Auckland Zoo,Masterplan Stage 3 (MP3).,Masterplan Stage 3 is focused on renewing and improving the visitor experience and the interface with our communities. The programme is split into three projects: Project 1: Takutai/NZ Coast  Nature Play & Savannah III Project 2: Africa Safari Connection Project 3: Arrival and Community Experience.,,In planning,Part funded,To be determined,Early contractor involvement,Auckland,,,Other not specified,50 - 100 million,,,,,,,2023-Q3,2030-Q3,,,,,
IP004840,14/03/2024,Bay of Plenty Regional Council,Whakatane River flood protection - Urban. Project Future Proof.,Community consultation. Upgrade of existing stopbanks and floodwalls in accordance with the Rivers and Drainage Asset Management Plan.,,Under construction,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,5 - 25 million,2020-Q4,2021-Q2,,,2023-Q3,2027-Q2,2020-Q4,2027-Q2,,,,,
IP004841,14/03/2024,Bay of Plenty Regional Council,Ngongotaha Flood Mitigation Works.,Flood risk management work. Where appropriate  upgrade of existing  and establishment of new flood protection structures in the lower Ngongataha catchment - Rotorua.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,5 - 25 million,2020-Q4,2021-Q2,,,2024-Q3,2027-Q2,2019-Q3,2027-Q2,,,,,
IP006663,14/03/2024,Bay of Plenty Regional Council,Ford Road Pump Station Replacement.,Remove existing pump station and build a new pump station adjacent to the Diagonal Drain pump station.,,Under construction,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,5 - 25 million,2020-Q4,2021-Q2,,,2023-Q3,2025-Q2,2021-Q3,2025-Q2,,,,,
IP006664,14/03/2024,Bay of Plenty Regional Council,Te Puke Storm Water.,Implement storm water mitigation solutions to account for increased run-off into scheme drainage system.,,Under construction,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2022-Q3,2024-Q2,,,,,
IP006666,14/03/2024,Bay of Plenty Regional Council,Lake Rotorua (upper Kaituna) streams flood defence upgrades.,Flood risk management work. Where appropriate  upgrade of existing  and establishment of new flood protection structures in the Utuhina catchment - Rotorua  in accordance with Rivers and Drainage AMP.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2024-Q3,2027-Q2,2019-Q3,2027-Q2,,,,,
IP010695,14/03/2024,Bay of Plenty Regional Council,Lower Kaituna stopbank upgrades.,Stopbanks in the lower Kaituna River area will be upgraded to meet levels of service.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2023-Q4,2024-Q2,,,2025-Q3,2027-Q2,2023-Q4,2027-Q2,,,,,
IP010696,14/03/2024,Bay of Plenty Regional Council,Ohineangaanga erosion repairs and reinstate drop structure.,Install structures in the Ohineangaanga Stream (Te Puke) to protect infrastructure.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2023-Q4,2024-Q2,,,2024-Q3,2025-Q2,2023-Q4,2025-Q2,,,,,
IP006667,14/03/2024,Bay of Plenty Regional Council,Waioeka-Otara Stopbank Construction.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In procurement,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2024-Q3,2025-Q2,2020-Q4,2025-Q2,,,,,
IP006669,14/03/2024,Bay of Plenty Regional Council,Rangitāiki Stopbank Construction.,Upgrade work to existing stopbank on true left of Rangitāiki River downstream of Thornton Rd in accordance with Rivers and Draianage asset management plan.,,Under construction,Fully funded,Open,Construct only,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2019-Q3,2024-Q2,,,,,
IP006670,14/03/2024,Bay of Plenty Regional Council,Tarawera Stopbank Construction.,Upgrade of existing stopbanks in the lower Tarawera River catchment in accordance with Rivers and Drainage asset management plan.,,Under construction,Fully funded,Open,Construct only,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2024-Q1,2024-Q2,2020-Q3,2025-Q2,,,,,
IP006673,14/03/2024,Bay of Plenty Regional Council,Culvert replacements - Rangitāiki Drainage Scheme.,replace culverts that have reached the end of their expected lives.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,< 1 million,2020-Q4,2021-Q2,,,2022-Q3,2027-Q2,2020-Q4,2027-Q2,,,,,
IP006674,14/03/2024,Bay of Plenty Regional Council,Eastern Drain Construction.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,< 1 million,2020-Q4,2021-Q2,,,2024-Q3,2025-Q2,2020-Q4,2025-Q2,,,,,
IP008136,14/03/2024,Bay of Plenty Regional Council,Whakatāne-Tauranga scheme canal stopbanks.,Upgrade exisiting canal stopbanks in accordance with the Rivers and Drainage Asset Management Plan.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2025-Q3,2026-Q2,2020-Q4,2026-Q2,,,,,
IP010697,14/03/2024,Bay of Plenty Regional Council,Rangitāiki-Tarawera scheme canal stopbanks.,Upgrade exisiting canal stopbanks in accordance with the Rivers and Drainage Asset Management Plan.,,In planning,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2023-Q4,2024-Q3,,,2025-Q3,2026-Q2,2023-Q4,2026-Q2,,,,,
IP008137,14/03/2024,Bay of Plenty Regional Council,Trident stopbank upgrade.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In planning,Fully funded,Open,Design and construct,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2025-Q3,2026-Q2,2020-Q4,2026-Q2,,,,,
IP008138,14/03/2024,Bay of Plenty Regional Council,Rangitāiki Spillway.,A weir type control structure that will release floodwaters into the Rangitāiki Floodway.,,Under construction,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2013-Q3,2024-Q2,,,,,
IP009806,14/03/2024,Bay of Plenty Regional Council,Safeguarding Our Stopbanks.,Remove structures in stopbanks un urban areas across the Bay of Plenty.,,Under construction,Fully funded,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2023-Q1,2023-Q2,,,2023-Q3,2027-Q2,2023-Q3,2027-Q2,,,,,
CCC_235,20/03/2024,Christchurch City Council,Belfast & Marshland Intersection Safety Improvement.,Improve the Belfast/Marshland Intersection to increase capacity  improve safety  align the intersection with surrounding projects  and address the needs of all road users  particularly recognising the strong cycle movement along Marshland Road.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,1 - 5 million,,2012-Q2,,,2023-Q4,2024-Q2,2012-Q2,2024-Q2,,,,-43.458683,172.657967
CCC_243,20/03/2024,Christchurch City Council,Greers  Northcote & Sawyers Arms Intersection Safety Improvement.,Intersection upgrade to alter the configuration of the Greers / Northcote / Sawyers Arms intersection.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2012-Q3,,,2026-Q4,2026-Q2,2012-Q3,2026-Q2,,,,-43.484282,172.599697
CCC_357,20/03/2024,Christchurch City Council,Te Nukutai o Tapoa - Naval Point Development Plan.,Produce a development plan and undertake subsequent works for the reserve areas adjacent to Naval Point. This includes planning for the renewal  replacement or removal of existing assets including the marina.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,25 - 50 million,,2018-Q2,,,2021-Q1,2031-Q3,2018-Q2,2031-Q3,,,,-43.60556,172.713566
CCC_596,20/03/2024,Christchurch City Council,WW Akaroa Reclaimed Water Treatment & Reuse Scheme.,The purpose of this project is to provide alternative and improved treatment and disposal of wastewater at Akaroa to meet cultural considerations and meet long term resource consent conditions.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,50 - 100 million,,2012-Q2,,,2026-Q3,2029-Q3,2012-Q2,2029-Q3,,,,-43.81263,172.955034
CCC_862,20/03/2024,Christchurch City Council,Matatiki Hornby Centre.,Construction of an integrated library  service centre  and swimming pool complex on Kyle Park  including associated parking.,,Under construction,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,25 - 50 million,,2019-Q4,,,2021-Q4,2024-Q2,2019-Q4,2024-Q2,,,,-43.539171,172.524878
CCC_874,20/03/2024,Christchurch City Council,WW Riccarton Trunk Main.,Reduce wet weather sewage overflows to the Avon River to meet resource consent requirements. To provide additional capacity for future growth.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,5 - 25 million,,2014-Q4,,,2016-Q3,2021-Q2,2014-Q4,2021-Q2,,,,-43.529011,172.607746
CCC_885,20/03/2024,Christchurch City Council,CWTP Reuse (C3 & C4 Water).,Construct facility to supply non-potable water for process purposes.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,1 - 5 million,,2029-Q3,,,,2032-Q2,2029-Q3,2032-Q2,,,,,
CCC_888,20/03/2024,Christchurch City Council,WS Lyttelton Rail Tunnel Pipeline Renewals.,The renewal and replacement of the water supply pipeline location in the rail tunnel to Lyttleton.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,5 - 25 million,,2019-Q1,,,2025-Q3,2027-Q2,2019-Q1,2027-Q2,,,,-43.603108,172.717701
CCC_890,20/03/2024,Christchurch City Council,WW Lyttelton Harbour Wastewater Scheme.,This project is to remove all routine wastewater discharges from the harbour and to redirect them to the waste water treatment plant at Bromley by construction of buried submarine pipelines from the Governors Bay and Diamond Harbour treatment plants to a new pump station by the Lyttleton road tunnel portal.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,50 - 100 million,,2014-Q2,,,2018-Q1,2023-Q2,2014-Q2,2023-Q2,,,,-43.607221,172.721856
CCC_899,20/03/2024,Christchurch City Council,CWTP Step Screen Renewal.,To ensure that wastewater infrastructure is maintained and renewed to achieve the required level of service to meet resource consent conditions.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,1 - 5 million,,2018-Q1,,,2021-Q2,2023-Q3,2018-Q1,2023-Q3,,,,-43.524943,172.700776
CCC_913,20/03/2024,Christchurch City Council,Marshland Road Bridge Renewal.,This project is for the strengthening of the bridge and addressing any capacity and safety issues. The provision of facilities for cyclists and pedestrians on the bridge is also included in the project scope.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2013-Q3,,,2020-Q4,2022-Q1,2013-Q3,2022-Q1,,,,-43.462411,172.658233
CCC_914,20/03/2024,Christchurch City Council,Core Public Transport Corridor & Facilities - South (Colombo St).,Bus priority measures and facilities along Colombo St south of the Central City (Moorhouse Avenue to Princess Margaret Hospital).,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2019-Q3,,,,2022-Q2,2019-Q3,2022-Q2,,,,-43.543906,172.636689
CCC_915,20/03/2024,Christchurch City Council,Northcote Road Corridor Improvement.,Four laning of Northcote Road and intersection upgrade.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2012-Q3,,,,2031-Q2,2012-Q3,2031-Q2,,,,-43.484118,172.608343
CCC_917,20/03/2024,Christchurch City Council,Lincoln Road Passenger Transport Improvements (Curletts to Wrights).,Road assets renewals and improvements of the section of Lincoln Road (Curletts to Wrights) to accommodate the core south-west public transport route on this corridor.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2016-Q3,,,2024-Q3,2025-Q3,2016-Q3,2025-Q3,,,,-43.552644,172.596526
CCC_924,20/03/2024,Christchurch City Council,Halswell Junction Road Extension.,This project is for an extension of Halswell Junction Road from Foremans Road to Waterloo Business Park  installing a new level crossing at Waterloo Road. The existing level crossing and intersection of Halswell Junction Road with Waterloo Road will be closed off with a cul-de-sac. The project team are working closely with KiwiRail who are undertaking the design for the new level crossing and related rail signal changes required.,,Under construction,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,25 - 50 million,,2014-Q3,,,2021-Q3,2024-Q4,2014-Q3,2024-Q4,,,,-43.543563,172.507132
CCC_1024,20/03/2024,Christchurch City Council,Town Hall Rebuild.,Major community facility rebuild project to repair the existing Town Hall building to 100% of the new building standard.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,100 - 250 million,,2012-Q4,,,2015-Q2,2019-Q3,2012-Q4,2019-Q3,,,,-43.526958,172.635577
CCC_1026,20/03/2024,Christchurch City Council,Te Kaha Canterbury Multi Use Arena (CMUA).,A major community facility as an anchor project under the Central Christchurch Recovery Plan. The arena is a replacement for the previous stadium at Lancaster Park  destroyed in the earthquake. It will have a seating capacity of 30 000 for sports events and will hold a minimum 36 000 spectators for large music events. Note: The budget of $671.1m excludes site decontamination and project governance allocations. The total approved project budget is $683.2m.,,Under construction,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,500 million - 1 billion,,2020-Q2,,,2022-Q3,2026-Q2,2020-Q2,2026-Q2,,,,-43.533769,172.644224
CCC_1341,20/03/2024,Christchurch City Council,Major Cycleway - Nor'West Arc Route - Annex  Birmingham & Wrights Corridor Improvement.,Project to upgrade the road network for cyclists and vehicles on Annex Road  Birmingham Drive and Wrights Road. Project delivery in conjunction with other transport projects.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2013-Q3,,,2021-Q1,2029-Q4,2013-Q3,2029-Q4,,,,-43.544493,172.591616
CCC_1347,20/03/2024,Christchurch City Council,Pūharakekenui Ki Tai - Lower Styx & Marshland Intersection Improvement.,Improve capacity and safety at the Hawkins/Lower Styx/Marshland intersection in response to urban and road network growth.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,1 - 5 million,,2013-Q3,,,2020-Q4,2022-Q1,2013-Q3,2022-Q1,,,,-43.462994,172.658264
CCC_1436,20/03/2024,Christchurch City Council,Takapūneke Reserve Development.,The vegetation management of this reserve has been required for some time as the green assets are in need of capital intervention.,,Under construction,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,1 - 5 million,,2015-Q4,,,2021-Q4,2025-Q2,2015-Q4,2025-Q2,,,,-43.817141,172.950338
CCC_1969,20/03/2024,Christchurch City Council,Central City Projects - Wayfinding.,This project will deliver signs  intelligent traffic and mapping systems and provide information to the public on travel options within and around the Central City.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,5 - 25 million,,2016-Q3,,,2017-Q2,2026-Q2,2016-Q3,2026-Q2,,,,-43.534214,172.63753
CCC_2025,20/03/2024,Christchurch City Council,Prestons Corridor Improvements.,Hawkins/ Hills/ Prestons intersection improvement includes upgrade of intersection to a roundabout. Project ensures continuity between developments and existing transport network.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,1 - 5 million,,2025-Q3,,,,2026-Q2,2025-Q3,2026-Q2,,,,-43.474824,172.642338
CCC_2027,20/03/2024,Christchurch City Council,Hawkins Corridor Improvements.,Hawkins/Radcliffe intersection improvement includes carriageway widening to provide a median. Project ensures continuity between developments and existing transport network.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,1 - 5 million,,2028-Q3,,,,2031-Q2,2028-Q3,2031-Q2,,,,-43.466116,172.650964
CCC_2034,20/03/2024,Christchurch City Council,Burwood & Mairehau Intersection Improvement.,General safety improvement at the intersection of Burwood and Mairehau Roads.,,In planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Transport,1 - 5 million,,2013-Q3,,,,2024-Q2,2013-Q3,2024-Q2,,,,-43.482703,172.68116
CCC_2174,20/03/2024,Christchurch City Council,Ngā Puna Wai Sports Hub.,The Sports Hub will be an effective and efficient way of providing sport and recreation facilities for the community and provide a venue capable of hosting national and international events.,,Post implementation,Funding source confirmed,To be determined,To be determined,Canterbury,,,Community facilities,50 - 100 million,,2015-Q4,,,2017-Q3,2019-Q3,2015-Q4,2019-Q3,,,,-43.558875,172.57463
