"PrimaryKey","InformationSubmissionQuarter","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","complete","completedonorbefore","total_delay","planned_duration","actual_duration","delay_ratio","budget_min","budget_max","funding_status_indicator","project_status_indicator","completed_on_time","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent"
"IP011380","2024-Q3","Filtration and UV disinfection installation - Package 2","In procurement","Fully funded","Open","Canterbury","Rakaia, Tinwald, Chertsey","Water","1 - 5 million",NA,NA,2024-10-01,NA,2023-10-01,2025-04-01,0,NA,NA,548,548,NA,1,5,0,0,NA,3,69.371,5.649241,70.79394,2.389024,2.05120295224231,-57.7107083942781
"IP011381","2024-Q3","Filtration and UV disinfection installation - Package 3","In planning","Fully funded","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,2025-01-01,NA,2023-10-01,2025-10-01,0,NA,NA,731,731,NA,1,5,0,1,NA,3,69.371,5.649241,71.97811,2.149748,3.75821308615993,-61.946250832634
"IP011382","2024-Q3","Wilkins Road Sludge Removal","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Waste","5 - 25 million",NA,NA,NA,NA,2028-07-01,2029-04-01,0,NA,NA,274,274,NA,5,25,1,0,NA,3,77.72758,1.99759,77.72758,1.99759,0,0
"IP011383","2024-Q3","Manhole level/surcharge monitoring","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2027-07-01,2028-04-01,0,NA,NA,275,275,NA,1,1,1,0,NA,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456
"IP011384","2024-Q3","Methven WWTP Aerator Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP011385","2024-Q3","Rakaia WWTP Receiving Screen Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957
"IP011386","2024-Q3","Rakaia WTP Additional Reservoir","Early planning","Funding source confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2028-07-01,2029-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,77.72758,1.99759,77.72758,1.99759,0,0
"IP011387","2024-Q3","Ashburton Gorge Road Trunk Watermain Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Mt Somers","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP011388","2024-Q3","Mt Somers Raw Trunk Watermain Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Mt Somers","Water","1 - 5 million",NA,NA,NA,NA,2032-07-01,2033-04-01,0,NA,NA,274,274,NA,1,5,1,0,NA,3,77.72758,1.99759,77.72758,1.99759,0,0
"IP011389","2024-Q3","Montalto Intake Replacement","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2027-07-01,2028-04-01,0,NA,NA,275,275,NA,1,1,1,0,NA,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456
"IP011390","2024-Q3","Methven raw water trunk main renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,5,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP011391","2024-Q3","Methven WTP Additional Reservoir","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","1 - 5 million",NA,NA,NA,NA,2028-07-01,2029-04-01,0,NA,NA,274,274,NA,1,5,1,0,NA,3,77.72758,1.99759,77.72758,1.99759,0,0
"IP011392","2024-Q3","West St Stormwater Attenuation and Treastment Facilities","In planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,5,1,1,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP012618","2024-Q3","Ashburton Water Supply - Additional Source","Scoping and problem definition","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2030-07-01,2031-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,77.72758,1.99759,77.72758,1.99759,0,0
"IP006334","2024-Q3","Airfield Resilience Work Package 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2022-01-01,2024-07-01,0,NA,NA,912,912,NA,50,100,0,0,NA,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712
"IP006337","2024-Q3","Domestic Processor","In procurement","Part funded","Selective","Auckland","Auckland","Transport","1 billion +",NA,NA,NA,NA,2021-10-01,2028-10-01,0,NA,NA,2557,2557,NA,1,1,0,0,NA,1,65.62,4.933586,77.72758,1.99759,18.4510515086864,-59.5103845357109
"IP006709","2024-Q3","Core Roading Network: Eastern Ring Route & South-eastern Access early works","On hold","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2022-01-01,2024-07-01,0,NA,NA,912,912,NA,25,50,0,0,NA,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712
"IP006710","2024-Q3","Baggage Enabling","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2021-07-01,2024-10-01,0,NA,NA,1188,1188,NA,25,50,0,0,NA,1,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547
"IP006711","2024-Q3","Terminal Integration Enabling: Forecourt Roading and Utilities","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2021-07-01,2026-01-01,0,NA,NA,1645,1645,NA,50,100,0,0,NA,1,68.294,3.342884,72.54655,2.100296,6.22682812545758,-37.1711372575297
"IP006712","2024-Q3","Terminal Integration Enabling: West Enabling","Under construction","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2027-07-01,0,NA,NA,2191,2191,NA,100,250,0,0,NA,1,68.294,3.342884,75.72233,2.008215,10.8769877295224,-39.9256749561157
"IP006713","2024-Q3","Terminal Integration Enabling: East Enabling","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2026-07-01,0,NA,NA,1826,1826,NA,100,250,0,0,NA,1,68.294,3.342884,73.65541,2.048457,7.85048466922425,-38.7218641149379
"IP008635","2024-Q3","Remote Stands Stage 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","250 - 500 million",NA,NA,NA,NA,2023-04-01,2025-07-01,0,NA,NA,822,822,NA,250,500,0,0,NA,1,69.266,6.654991,71.39126,2.23914,3.0682585972916,-66.3539740324217
"IP008889","2024-Q3","Terminal Integration Enabling: Check-in Expansion","In procurement","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2023-01-01,2027-10-01,0,NA,NA,1734,1734,NA,100,250,0,0,NA,1,69.505,7.219251,76.22636,2.002692,9.67032587583628,-72.2590058165314
"IP011258","2024-Q3","Contingent Runway (Staged Implementation)","Under construction","Part funded","To be determined","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2024-04-01,2028-01-01,0,NA,NA,1370,1370,NA,50,100,0,0,NA,1,69.40367,4.013946,76.72869,1.997825,10.5542257347486,-50.2279054077957
"IP011259","2024-Q3","Airfield Resilience Work Package 3","In planning","Funding source to be confirmed","To be determined","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2024-04-01,2027-01-01,0,NA,NA,1005,1005,NA,50,100,0,1,NA,1,69.40367,4.013946,74.70523,2.022161,7.63873149647561,-49.6216192245735
"AKL_12937","2024-Q3","Pah Road 102, Papatoetoe [188]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",NA,2017-04-01,2024-07-01,2025-04-01,2017-04-01,2025-04-01,1,1,0,2922,2922,0,1,5,1,1,1,1,59.838,2.166667,70.79394,2.389024,18.3093352050537,10.2626291903647
"AKL_12954","2024-Q3","Argo Drive 29 & 41 stormwater upgrade [195]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",NA,2015-04-01,2024-07-01,2025-04-01,2015-04-01,2025-04-01,1,1,0,3653,3653,0,1,5,1,1,1,1,55.682,0.251678,70.79394,2.389024,27.1397219927445,849.238312446857
"AKL_12971","2024-Q3","Bairds Rd & Sean Fitzpatrick Pl, Papatoetoe [175]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",NA,2009-07-01,NA,NA,2009-07-01,2025-04-01,0,NA,NA,5753,5753,NA,1,1,1,1,NA,1,49.364,1.665125,70.79394,2.389024,43.4120816789563,43.4741535920727
"AKL_13017","2024-Q3","Rosedale East Pond Upgrade [398]","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2023-01-01,2025-01-01,2026-10-01,2027-04-01,2023-01-01,2027-04-01,1,1,0,1551,1551,0,1,5,1,0,1,1,69.505,7.219251,75.21558,2.014421,8.21607078627438,-72.0965374385791
"AKL_13395","2024-Q3","Mayfair Crescent SW Renewal [2587]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",NA,2019-07-01,2025-04-01,2026-04-01,2019-07-01,2026-04-01,1,1,0,2466,2466,0,1,5,1,1,1,1,64.324,1.674877,73.10828,2.067911,13.6563024687519,23.4664396251187
"AKL_13598","2024-Q3","108-152 Fanshawe St Stormwater Upgrade, Lighter Quay Basin outfall [2147]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",NA,2012-04-01,2025-07-01,2026-01-01,2012-04-01,2026-01-01,1,1,0,5023,5023,0,1,5,1,1,1,1,50.883,1.570681,72.54655,2.100296,42.5752215867775,33.7188136865474
"AKL_13737","2024-Q3","Lower Khyber Separation [2429]","In planning","Funding source confirmed","To be determined","Auckland","Auckland","Water","5 - 25 million",2014-07-01,2015-04-01,2024-10-01,2025-10-01,2014-07-01,2025-10-01,1,1,0,4110,4110,0,5,25,1,1,1,1,53.942,1.615646,71.97811,2.149748,33.4361165696489,33.0581080261394
"AKL_15326","2024-Q3","Allen Hill Reserve (Dacre Park) - install irrigation and lighting on field 1","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","< 1 million",2018-01-01,2018-04-01,NA,NA,2018-04-01,2024-07-01,0,NA,NA,2283,2283,NA,1,1,0,0,NA,1,61.946,1.1,69.52124,3.42672,12.2287799050786,211.52
"AKL_15403","2024-Q3","Te Auaunga/Oakley Creek - renew - pathways and connections","In planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","1 - 5 million",2019-01-01,2019-04-01,2026-04-01,2028-01-01,2019-04-01,2028-01-01,1,1,0,3197,3197,0,1,5,1,1,1,1,64.14,1.48368,76.72869,1.997825,19.6268942937325,34.6533619109242
"AKL_15557","2024-Q3","Glenbrook Beach Beachfront - renew coastal assets","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2019-04-01,2022-01-01,2025-04-01,2025-04-01,2022-01-01,2025-04-01,1,1,0,1186,1186,0,1,1,1,1,1,1,67.989,5.949008,70.79394,2.389024,4.12557913780171,-59.8416408248232
"AKL_15701","2024-Q3","Greenmount Development - develop public access","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Transport","1 - 5 million",2016-07-01,2024-07-01,2023-10-01,2024-10-01,2024-07-01,2024-10-01,1,1,0,92,92,0,1,5,0,0,1,1,69.52124,3.42672,69.83852,2.715554,0.456378511085241,-20.7535485829014
"AKL_15800","2024-Q3","Massey Homestead - refurbish heritage facility","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2017-01-01,2018-07-01,2025-04-01,2025-10-01,2018-07-01,2025-10-01,1,1,0,2649,2649,0,1,5,1,1,1,1,62.626,1.5,71.97811,2.149748,14.9332705266183,43.3165333333333
"AKL_16093","2024-Q3","Botanic Gardens - replace covered events area in courtyard","In planning","Funding source confirmed","Selective","Auckland","Auckland","Community","1 - 5 million",2017-07-01,2022-01-01,2024-07-01,2025-01-01,2022-01-01,2025-01-01,1,1,0,1096,1096,0,1,5,1,1,1,1,67.989,5.949008,70.23492,2.514151,3.30335789613025,-57.7383153628302
"AKL_16102","2024-Q3","(OLI) Address sportfield capacity shortfall and golf course realignment in the local board area","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","< 1 million",2019-07-01,2020-04-01,2023-10-01,2025-04-01,2020-04-01,2025-04-01,1,1,0,1826,1826,0,1,1,0,0,1,1,64.568,2.534113,70.79394,2.389024,9.64245446660886,-5.72543529037577
"AKL_16910","2024-Q3","Martins Bay Holiday Park - rebuild main amenities block","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2017-07-01,2023-07-01,2025-04-01,2025-10-01,2023-07-01,2025-10-01,1,1,0,823,823,0,1,5,0,0,1,1,69.609,6.029285,71.97811,2.149748,3.40345357640536,-64.3448932999518
"AKL_17157","2024-Q3","City Centre, High Street","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","5 - 25 million",2020-01-01,2025-10-01,NA,NA,2025-10-01,2028-04-01,0,NA,NA,913,913,NA,5,25,1,0,NA,1,71.97811,2.149748,77.22976,1.996746,7.2961765736833,-7.11720629580771
"AKL_17162","2024-Q3","City Centre, Emily Place Improvements","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","5 - 25 million",NA,2024-07-01,2026-01-01,2027-04-01,2024-07-01,2027-04-01,1,1,0,1004,1004,0,5,25,1,0,1,1,69.52124,3.42672,75.21558,2.014421,8.19079176378327,-41.2143098940094
"AKL_17448","2024-Q3","East Tamaki Dam Upgrade [2500]","In planning","Funding source confirmed","To be determined","Auckland","Auckland","Water","5 - 25 million",2016-07-01,2017-01-01,2025-10-01,2027-01-01,2017-01-01,2026-01-01,1,0,365,3287,3652,0.0999452354874042,5,25,1,1,0,1,59.225,1.335559,72.54655,2.100296,22.4931194596876,57.2596942553643
"AKL_17967","2024-Q3","Avondale - develop new community centre and library - Te Hono","In planning","Funding source confirmed","Selective","Auckland","Auckland","Community","25 - 50 million",2020-07-01,2020-07-01,2025-01-01,2027-07-01,2020-07-01,2027-07-01,1,1,0,2556,2556,0,25,50,1,1,1,1,58.01,1.453488,75.72233,2.008215,30.533235649026,38.1652273702982
"AKL_17990","2024-Q3","Claystore Heritage building - full facility renewal","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2019-07-01,2020-10-01,2025-01-01,2025-07-01,2020-10-01,2025-07-01,1,1,0,1734,1734,0,1,5,1,1,1,1,66.175,1.443696,71.39126,2.23914,7.88252361163582,55.0977491106161
"AKL_18083","2024-Q3","Howick Library - comprehensive renewal","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2019-10-01,2019-10-01,2026-07-01,2026-10-01,2019-10-01,2026-10-01,1,1,0,2557,2557,0,1,5,1,1,1,1,64.868,1.464844,74.1876,2.0319,14.3670222605908,38.7110163266532
"AKL_18167","2024-Q3","Martins Bay Holiday Park - replace rear amenities block","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2021-04-01,2021-10-01,2025-10-01,NA,2021-10-01,2024-10-01,0,NA,NA,1096,1096,NA,1,5,1,1,NA,1,65.62,4.933586,69.83852,2.715554,6.42871075891496,-44.957805539419
"AKL_18203","2024-Q3","139 Beach Road, Castor Bay - Old Barracks - investigate options for the building","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","< 1 million",2019-07-01,2022-04-01,2025-04-01,2025-07-01,2022-04-01,2025-07-01,1,1,0,1187,1187,0,1,1,1,1,1,1,67.898,6.928839,71.39126,2.23914,5.14486435535657,-67.6837634703303
"AKL_18219","2024-Q3","Orewa Holiday Park – renew northern amenities block","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2021-07-01,2021-10-01,2027-07-01,NA,2021-10-01,2025-01-01,0,NA,NA,1188,1188,NA,1,5,1,1,NA,1,65.62,4.933586,70.23492,2.514151,7.03279487960987,-49.0400897035138
"AKL_18329","2024-Q3","Ti Rakau Park - renew park assets","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","< 1 million",2023-07-01,2024-10-01,2026-10-01,2027-01-01,2024-10-01,2027-01-01,1,1,0,822,822,0,1,1,1,1,1,1,69.83852,2.715554,74.70523,2.022161,6.96851823320425,-25.5341267380431
"AKL_18544","2024-Q3","East Coast Bays Community Centre - refurbish buildings","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Community","1 - 5 million",2022-07-01,2024-07-01,2025-07-01,2026-01-01,2024-07-01,2026-01-01,1,1,0,549,549,0,1,5,1,0,1,1,69.52124,3.42672,72.54655,2.100296,4.35163411929935,-38.7082691319979
"AKL_18553","2024-Q3","Ambury Regional Park - renew workshop","In planning","Funding source confirmed","Limited","Auckland","Auckland","Industrial and Commercial","1 - 5 million",2017-07-01,2017-10-01,2024-07-01,2025-04-01,2017-10-01,2025-04-01,1,1,0,2739,2739,0,1,5,1,1,1,1,60.838,1.902399,70.79394,2.389024,16.3646733949177,25.5795445645209
"AKL_18730","2024-Q3","Mangere-Otahuhu - renew park roading and carparks","In planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","< 1 million",2018-07-01,2022-07-01,2023-10-01,2024-01-01,2022-07-01,2024-01-01,1,1,0,549,549,0,1,1,1,1,1,1,68.588,7.301294,69.307,4.655029,1.04828833032018,-36.2437808969205
"AKL_18764","2024-Q3","Glenfern Regional Park - renew vehicle and pedestrian ford","In planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","< 1 million",2021-10-01,2021-10-01,2024-07-01,2024-10-01,2021-10-01,2024-10-01,1,1,0,1096,1096,0,1,1,1,1,1,1,65.62,4.933586,69.83852,2.715554,6.42871075891496,-44.957805539419
"AKL_18829","2024-Q3","Oranga Community Centre - refurbish facility","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","< 1 million",2018-07-01,2023-07-01,2026-01-01,2026-01-01,2023-07-01,2026-01-01,1,1,0,915,915,0,1,1,1,1,1,1,69.609,6.029285,72.54655,2.100296,4.2200721171113,-65.1650900562836
"AKL_19298","2024-Q3","88 Harris Road, East Tamaki [2514]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2017-07-01,2017-04-01,NA,NA,2017-04-01,2025-04-01,0,NA,NA,2922,2922,NA,1,1,1,1,NA,1,59.838,2.166667,70.79394,2.389024,18.3093352050537,10.2626291903647
"AKL_19299","2024-Q3","21 St Georges Road, Avondale [2522]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2017-07-01,2017-07-01,NA,NA,2017-07-01,2024-10-01,0,NA,NA,2649,2649,NA,1,1,1,1,NA,1,60.387,1.742739,69.83852,2.715554,15.6515806382168,55.8210380326601
"AKL_19702","2024-Q3","95D Hinemoa Street Stormwater Outfall Renewal","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",NA,2017-10-01,2024-10-01,2025-01-01,2017-10-01,2025-01-01,1,1,0,2649,2649,0,1,5,1,1,1,1,60.838,1.902399,70.23492,2.514151,15.4458068970052,32.1568714028971
"AKL_19974","2024-Q3","Botanic Gardens - renew electrical transformer","In planning","Funding source confirmed","Limited","Auckland","Auckland","Energy","< 1 million",2018-07-01,2018-07-01,2024-10-01,2024-10-01,2018-07-01,2024-10-01,1,1,0,2284,2284,0,1,1,1,1,1,1,62.626,1.5,69.83852,2.715554,11.5168141027688,81.0369333333333
"AKL_20049","2024-Q3","Oruarangi (Airport Oaks) Stormwater Treatment Wetpond [491]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2012-04-01,2018-01-01,2025-10-01,2026-04-01,2012-04-01,2026-04-01,1,1,0,5113,5113,0,1,5,1,1,1,1,50.883,1.570681,73.10828,2.067911,43.6791855826111,31.6569691745173
"AKL_20050","2024-Q3","Osman Street Flood Mitigation [969]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2018-01-01,2018-01-01,2025-07-01,2025-10-01,2018-01-01,2025-10-01,1,1,0,2830,2830,0,1,5,1,1,1,1,61.43,1.594399,71.97811,2.149748,17.1709425362201,34.831243622205
"AKL_20054","2024-Q3","Outfalls Package 4 - Cockle Bay, Mangere Inlet, Slippery Creek and Whangapouri Creek [2576]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2018-01-01,2018-01-01,2025-01-01,2025-07-01,2018-01-01,2025-07-01,1,1,0,2738,2738,0,1,5,1,1,1,1,61.43,1.594399,71.39126,2.23914,16.2156275435455,40.4378703197882
"AKL_20055","2024-Q3","Great North Road & Cartwright Road Pipe Renewal Stage 1 [2619]","In planning","Funding source confirmed","To be determined","Auckland","Auckland","Water","5 - 25 million",2017-10-01,2018-01-01,2025-07-01,2026-07-01,2017-10-01,2026-07-01,1,1,0,3195,3195,0,5,25,1,1,1,1,60.838,1.902399,73.65541,2.048457,21.0680988855649,7.67756921655236
"AKL_20084","2024-Q3","3-8 Robert Street, Ellerslie Pipeline Renewal [1300]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2017-10-01,2017-10-01,NA,NA,2017-10-01,2026-10-01,0,NA,NA,3287,3287,NA,1,5,1,1,NA,1,60.838,1.902399,74.1876,2.0319,21.9428646569578,6.8072470601593
"AKL_20088","2024-Q3","Marlborough Avenue SW Improvements [497]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2017-07-01,2017-07-01,2025-01-01,2026-04-01,2017-07-01,2026-04-01,1,1,0,3196,3196,0,1,5,1,1,1,1,60.387,1.742739,73.10828,2.067911,21.0662559822478,18.6586746495029
"AKL_20089","2024-Q3","Rosalind Road and Diana Drive SW Improvements [2588]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2017-10-01,2017-10-01,2025-01-01,2026-04-01,2017-10-01,2026-04-01,1,1,0,3104,3104,0,1,5,1,1,1,1,60.838,1.902399,73.10828,2.067911,20.1687760938887,8.7001727818402
"AKL_20090","2024-Q3","Blenheim Street, Glenfield, SW Renewals and Improvements [2618]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2018-01-01,2018-01-01,2025-01-01,2026-04-01,2018-01-01,2025-04-01,1,0,365,2647,3012,0.121181938911023,1,5,1,1,0,1,61.43,1.594399,70.79394,2.389024,15.2432687611916,49.8385284988262
"AKL_20091","2024-Q3","Longwood Place and Springfield Street SW Improvements [2524]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2017-10-01,2017-10-01,2025-01-01,2025-10-01,2017-10-01,2025-10-01,1,1,0,2922,2922,0,1,5,1,1,1,1,60.838,1.902399,71.97811,2.149748,18.3111049015418,13.00195174619
