"PrimaryKey","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","planned_duration","funding_status_indicator","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent","avg_group_delay","predicted_delay","likelihood"
"IP011387","Ashburton Gorge Road Trunk Watermain Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Mt Somers","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,314.401855121387,99.9412396373304
"IP011388","Mt Somers Raw Trunk Watermain Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Mt Somers","Water","1 - 5 million",NA,NA,NA,NA,2032-07-01,2033-04-01,274,1,3,77.72758,1.99759,77.72758,1.99759,0,0,-36.8563535911602,317.58542156749,100
"IP011389","Montalto Intake Replacement","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2027-07-01,2028-04-01,275,1,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456,-36.8563535911602,314.091067052406,99.9355032972992
"IP011390","Methven raw water trunk main renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,317.58542156749,100
"IP011391","Methven WTP Additional Reservoir","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","1 - 5 million",NA,NA,NA,NA,2028-07-01,2029-04-01,274,1,3,77.72758,1.99759,77.72758,1.99759,0,0,-36.8563535911602,317.58542156749,100
"IP011392","West St Stormwater Attenuation and Treastment Facilities","In planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,11.0008233956903,94.3412451153478
"IP012618","Ashburton Water Supply - Additional Source","Scoping and problem definition","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2030-07-01,2031-04-01,274,1,3,77.72758,1.99759,77.72758,1.99759,0,0,-36.8563535911602,314.401855121387,99.9412396373304
"IP006334","Airfield Resilience Work Package 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2022-01-01,2024-07-01,912,0,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712,-48.2584269662921,92.7934257930094,84.4955104061358
"IP006337","Domestic Processor","In procurement","Part funded","Selective","Auckland","Auckland","Transport","1 billion +",NA,NA,NA,NA,2021-10-01,2028-10-01,2557,0,1,65.62,4.933586,77.72758,1.99759,18.4510515086864,-59.5103845357109,-48.2584269662921,-539.03682727175,65.5437260045477
"IP006709","Core Roading Network: Eastern Ring Route & South-eastern Access early works","On hold","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2022-01-01,2024-07-01,912,0,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712,-48.2584269662921,31.6771053956163,82.6623228973524
"IP006710","Baggage Enabling","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2021-07-01,2024-10-01,1188,0,1,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547,-48.2584269662921,-54.1004016432402,80.0894216916555
"IP006711","Terminal Integration Enabling: Forecourt Roading and Utilities","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2021-07-01,2026-01-01,1645,0,1,68.294,3.342884,72.54655,2.100296,6.22682812545758,-37.1711372575297,-48.2584269662921,-135.01422877033,77.6624068417306
"IP006712","Terminal Integration Enabling: West Enabling","Under construction","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2027-07-01,2191,0,1,68.294,3.342884,75.72233,2.008215,10.8769877295224,-39.9256749561157,-48.2584269662921,-142.677293063085,77.4325527921226
"IP006713","Terminal Integration Enabling: East Enabling","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2026-07-01,1826,0,1,68.294,3.342884,73.65541,2.048457,7.85048466922425,-38.7218641149379,-48.2584269662921,-29.2396478848871,80.8351214155986
"IP008635","Remote Stands Stage 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","250 - 500 million",NA,NA,NA,NA,2023-04-01,2025-07-01,822,0,1,69.266,6.654991,71.39126,2.23914,3.0682585972916,-66.3539740324217,-48.2584269662921,609.694915180477,100
"IP008889","Terminal Integration Enabling: Check-in Expansion","In procurement","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2023-01-01,2027-10-01,1734,0,1,69.505,7.219251,76.22636,2.002692,9.67032587583628,-72.2590058165314,-48.2584269662921,-0.647145538601649,81.6927551508309
"IP011258","Contingent Runway (Staged Implementation)","Under construction","Part funded","To be determined","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2024-04-01,2028-01-01,1370,0,1,69.40367,4.013946,76.72869,1.997825,10.5542257347486,-50.2279054077957,-48.2584269662921,-49.5475098004552,80.2259859416098
"IP011259","Airfield Resilience Work Package 3","In planning","Funding source to be confirmed","To be determined","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2024-04-01,2027-01-01,1005,0,1,69.40367,4.013946,74.70523,2.022161,7.63873149647561,-49.6216192245735,-48.2584269662921,-242.694462794057,74.4325320935186
"AKL_12971","Bairds Rd & Sean Fitzpatrick Pl, Papatoetoe [175]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",NA,2009-07-01,NA,NA,2009-07-01,2025-04-01,5753,1,1,49.364,1.665125,70.79394,2.389024,43.4120816789563,43.4741535920727,-48.2584269662921,-1703.80060091055,0.892666062409951
"AKL_15326","Allen Hill Reserve (Dacre Park) - install irrigation and lighting on field 1","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","< 1 million",2018-01-01,2018-04-01,NA,NA,2018-04-01,2024-07-01,2283,0,1,61.946,1.1,69.52124,3.42672,12.2287799050786,211.52,-48.2584269662921,-453.880896370856,32.6941038831338
"AKL_17157","City Centre, High Street","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","5 - 25 million",2020-01-01,2025-10-01,NA,NA,2025-10-01,2028-04-01,913,1,1,71.97811,2.149748,77.22976,1.996746,7.2961765736833,-7.11720629580771,-48.2584269662921,129.51112817904,85.5968599790098
"AKL_18167","Martins Bay Holiday Park - replace rear amenities block","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2021-04-01,2021-10-01,2025-10-01,NA,2021-10-01,2024-10-01,1096,1,1,65.62,4.933586,69.83852,2.715554,6.42871075891496,-44.957805539419,-48.2584269662921,-253.27699721824,50.4719973844854
"AKL_18219","Orewa Holiday Park – renew northern amenities block","In planning","Funding source confirmed","Limited","Auckland","Auckland","Community","1 - 5 million",2021-07-01,2021-10-01,2027-07-01,NA,2021-10-01,2025-01-01,1188,1,1,65.62,4.933586,70.23492,2.514151,7.03279487960987,-49.0400897035138,-48.2584269662921,-281.869499564525,47.9380762403969
"AKL_19298","88 Harris Road, East Tamaki [2514]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2017-07-01,2017-04-01,NA,NA,2017-04-01,2025-04-01,2922,1,1,59.838,2.166667,70.79394,2.389024,18.3093352050537,10.2626291903647,-48.2584269662921,-823.959577624312,42.081223398951
"AKL_19299","21 St Georges Road, Avondale [2522]","In planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2017-07-01,2017-07-01,NA,NA,2017-07-01,2024-10-01,2649,1,1,60.387,1.742739,69.83852,2.715554,15.6515806382168,55.8210380326601,-48.2584269662921,-739.1144347924,46.0531330255408
"AKL_20084","3-8 Robert Street, Ellerslie Pipeline Renewal [1300]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2017-10-01,2017-10-01,NA,NA,2017-10-01,2026-10-01,3287,1,1,60.838,1.902399,74.1876,2.0319,21.9428646569578,6.8072470601593,-48.2584269662921,-934.213656356407,36.9198290978728
"AKL_20204","6-10 Altona Road Forrest Hill Flood Mitigation [2529]","In planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2017-10-01,2017-10-01,NA,NA,2017-10-01,2026-04-01,3104,1,1,60.838,1.902399,73.10828,2.067911,20.1687760938887,8.7001727818402,-48.2584269662921,-877.339439732818,39.582317968444
"AKL_23975","Whangateau Holiday Park - replace caravans","In planning","Funding source confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",2021-07-01,2021-07-01,2024-07-01,NA,2021-07-01,2025-07-01,1461,1,1,68.294,3.342884,71.39126,2.23914,4.53518610712509,-33.017717635431,-48.2584269662921,-369.89820884254,42.4920574274928
"AKL_26074","Karioitahi Reserve - renew park assets, accessways and beach entrance","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Community","< 1 million",2024-01-01,2024-07-01,2025-01-01,NA,2024-07-01,2025-04-01,274,1,1,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062,-48.2584269662921,305.591827210138,100
"AKL_26301","Becroft Drive Culvert Renewal [2627, 2700, 2727]","In planning","Funding source confirmed","To be determined","Auckland","Auckland","Transport","5 - 25 million",2019-04-01,2019-04-01,NA,NA,2019-04-01,2025-04-01,2192,1,1,64.14,1.48368,70.79394,2.389024,10.3740879326473,61.0201660735468,-48.2584269662921,-574.571410219923,64.47786416655
"AKL_26485","Blueridge East Stormwater Pond Renewal [2713]","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2019-04-01,2025-01-01,NA,NA,2024-10-01,2025-10-01,365,1,1,69.83852,2.715554,71.97811,2.149748,3.06362448688775,-20.8357484329164,-48.2584269662921,277.310112932834,93.6356617486061
"AKL_26519","Birkenhead Ave/Waratah Street SW Network Extension [1291]","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2019-04-01,NA,NA,NA,2024-10-01,2026-01-01,457,0,1,69.83852,2.715554,72.54655,2.100296,3.87755926099235,-22.6568133058669,-48.2584269662921,116.801684035216,86.1216785952008
"AKL_26599","Albionvale Pond Renewal","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2019-04-01,2025-01-01,NA,NA,2024-10-01,2025-07-01,273,1,1,69.83852,2.715554,71.39126,2.23914,2.22332890215887,-17.543897120072,-48.2584269662921,309.086181725222,95.1232150642002
"AKL_26632","Albany Logistics Centre - R&A Fitout & Construction","In planning","Funding source confirmed","To be determined","Auckland","Auckland","Transport","5 - 25 million",2018-01-01,2020-04-01,NA,NA,2022-07-01,2027-01-01,1645,1,1,68.588,7.301294,74.70523,2.022161,8.9188050387823,-72.3040737710329,-48.2584269662921,-404.570336487117,69.5770560488552
"AKL_26763","Centreway Wetland Pond Renewal [2747]","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",2019-07-01,2025-01-01,NA,NA,2024-10-01,2025-04-01,182,1,1,69.83852,2.715554,70.79394,2.389024,1.36804159080118,-12.0244340565498,-48.2584269662921,337.367896002526,96.4471849397301
"AKL_27389","City Centre, Victoria Quarter Improvements","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","5 - 25 million",2022-07-01,2023-07-01,NA,NA,2023-07-01,2024-10-01,458,1,1,69.609,6.029285,69.83852,2.715554,0.329727477768691,-54.9605964886384,-48.2584269662921,270.919699565561,89.8384181260827
"AKL_27718","Carr_Clinker Roads Flood Mitigation [2759]","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2019-07-01,2024-10-01,NA,NA,2024-07-01,2027-04-01,1004,1,1,69.52124,3.42672,75.21558,2.014421,8.19079176378327,-41.2143098940094,-48.2584269662921,81.9001032998451,84.1687645779549
"AKL_27978","Papakura - Relocate LB office (fitout)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","1 - 5 million",2021-04-01,2022-04-01,NA,NA,2022-07-01,2026-04-01,1370,0,1,68.588,7.301294,73.10828,2.067911,6.59048230011081,-71.6774725137763,-48.2584269662921,-166.947822944769,60.5339551456783
"AKL_28020","AH - Replace Access Control System","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2029-07-01,2030-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28021","REG - Replace Surveillance and Security System","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","< 1 million",NA,NA,NA,NA,2030-07-01,2031-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,170.492334212703,88.0272297361093
"AKL_28060","AH - Staff Toilets Refurb","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Community","5 - 25 million",NA,NA,NA,NA,2024-07-01,2028-04-01,1370,0,1,69.52124,3.42672,77.22976,1.996746,11.0880070608637,-41.7301092589999,-48.2584269662921,-147.618512342878,59.8356503322244
"AKL_28066","AH - Replace Stairwell Presurisation Fans","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2032-07-01,2033-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28068","AH - Replace Canopy (Albert & Federal)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","1 - 5 million",NA,2024-04-01,NA,NA,2024-07-01,2027-04-01,1004,0,1,69.52124,3.42672,75.21558,2.014421,8.19079176378327,-41.2143098940094,-48.2584269662921,-53.1993896975896,70.645971386353
"AKL_28070","AH - Replace AHU Fans (x2)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,0,1,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28071","AH - Replace Plaza Escalators","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2025-07-01,2027-04-01,639,0,1,71.39126,2.23914,75.21558,2.014421,5.35684620218217,-10.0359513027323,-48.2584269662921,57.0546890345054,80.4473462529138
"AKL_28073","AH - Replace Water Pumps","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Water","< 1 million",NA,NA,NA,NA,2032-07-01,2033-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,170.492334212703,88.6351331452192
"AKL_28075","AH - Replace Main Circuit Breaker (MCB)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Energy","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,274,0,1,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957,-48.2584269662921,170.492334212703,88.9719395265638
"AKL_28077","AH - Replace Café and Kitchen Equipment","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2025-07-01,2027-04-01,639,0,1,71.39126,2.23914,75.21558,2.014421,5.35684620218217,-10.0359513027323,-48.2584269662921,57.0546890345054,80.4473462529138
"AKL_28078","AH - Replace Smoke Relief Fans","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2032-07-01,2033-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28095","HC - Replace Emergency Lighting","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Community","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,274,0,1,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957,-48.2584269662921,170.492334212703,88.0272297361093
"AKL_28096","HC - Subdivision of Services Plant","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","1 - 5 million",NA,NA,NA,NA,2027-07-01,2029-04-01,640,0,1,75.72233,2.008215,77.72758,1.99759,2.64816204150084,-0.529076816974272,-48.2584269662921,59.9274674116268,80.7027307076797
"AKL_28099","MC - Replace Kitchen Equipment (Café)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,0,1,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28100","MC - Cyclical Floor Refurb (Cafe)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,274,0,1,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062,-48.2584269662921,170.492334212703,90.5317340339145
"AKL_28101","MC - Cyclical Floor Refurb (L1 & L2)","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Industrial and Commercial","1 - 5 million",NA,NA,NA,NA,2030-07-01,2031-04-01,274,0,1,77.72758,1.99759,77.72758,1.99759,0,0,-48.2584269662921,173.675900658806,90.8147469483545
"AKL_28106","MC - Replace UPS - 60kVa","Early planning","Funding source to be confirmed","Limited","Auckland","Auckland","Transport","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,274,0,1,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957,-48.2584269662921,170.492334212703,86.8260935864538
"AKL_28160","AH - Level 28 Fitout","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Industrial and Commercial","1 - 5 million",NA,NA,NA,NA,2024-07-01,2026-04-01,639,0,1,69.52124,3.42672,73.10828,2.067911,5.15963179022697,-39.6533419713312,-48.2584269662921,60.2382554806081,80.7303591673537
"AKL_28233","Bottle Top Bay Asset Acquisition and Redevelopment","Early planning","Funding source to be confirmed","To be determined","Auckland","Auckland","Water","5 - 25 million",2022-04-01,NA,NA,NA,2025-07-01,2028-04-01,1005,0,1,71.39126,2.23914,77.22976,1.996746,8.17817194989974,-10.8253168627241,-48.2584269662921,-34.18086716468,79.0536364122086
"AKL_28236","Birkenhead Ave, Higbury, Asset renewal and OLF control","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",NA,NA,NA,NA,2025-07-01,2028-04-01,1005,0,1,71.39126,2.23914,77.22976,1.996746,8.17817194989974,-10.8253168627241,-48.2584269662921,-53.510177766571,80.1071254904291
"AKL_28238","Alfriston Rd to Halver Rd, Manurewa pipe renewal","In planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","< 1 million",NA,2022-04-01,NA,NA,2022-04-01,2025-04-01,1096,1,1,67.898,6.928839,70.79394,2.389024,4.26513299360807,-65.5205727828284,-48.2584269662921,-256.460563664342,74.0196171144104
"AKL_28240","Croydon Road 18, New Lynn flood mitigation","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2028-04-01,1005,0,1,71.39126,2.23914,77.22976,1.996746,8.17817194989974,-10.8253168627241,-48.2584269662921,-53.510177766571,78.1487611029986
"AKL_28241","Cockle Bay Road Flood Mitigation","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2028-04-01,1005,0,1,71.39126,2.23914,77.22976,1.996746,8.17817194989974,-10.8253168627241,-48.2584269662921,-53.510177766571,78.1487611029986
"AKL_28245","Bright Street 61, Eden Terrace, Pipe Renewal","In planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2022-01-01,2024-04-01,NA,NA,2024-04-01,2025-10-01,548,1,1,69.40367,4.013946,71.97811,2.149748,3.70937156493309,-46.4430263884965,-48.2584269662921,-82.9651354164525,79.2236223592783
"AKL_28255","Campbell Road, Takapuna Network Extension and Improvements","Early planning","Funding source confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",2022-01-01,2024-10-01,NA,NA,2024-10-01,2028-04-01,1278,1,1,69.83852,2.715554,77.22976,1.996746,10.583328512689,-26.470031529478,-48.2584269662921,-3.25582760104851,81.6145075838935
"AKL_28259","Avondale/Whau catchment Upgrades","Early planning","Funding source to be confirmed","Selective","Auckland","Auckland","Transport","1 - 5 million",NA,NA,NA,NA,2025-07-01,2028-04-01,1005,0,1,71.39126,2.23914,77.22976,1.996746,8.17817194989974,-10.8253168627241,-48.2584269662921,-53.510177766571,80.1071254904291
"AKL_28268","Carrington Road SW extension (Unitec)","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Water","< 1 million",2021-01-01,2021-01-01,NA,NA,2021-01-01,2025-10-01,1734,1,1,66.279,1.436782,71.97811,2.149748,8.59866624421009,49.6224201027017,-48.2584269662921,-148.158753502653,73.7179171376118
"AKL_29126","Beach Rd Northcote Point Pipe Renewal [2699]","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Transport","< 1 million",NA,2024-10-01,NA,NA,2024-07-01,2025-07-01,365,1,1,69.52124,3.42672,71.39126,2.23914,2.68985420858431,-34.656464490825,-48.2584269662921,277.310112932834,90.0300989387474
"AKL_30016","Kaipātiki Cultural Identity","Early planning","Funding source confirmed","Limited","Auckland","Auckland","Community","< 1 million",NA,NA,NA,NA,2021-04-01,2025-04-01,1461,1,1,67.481,1.520913,70.79394,2.389024,4.90944117603475,57.0782812692113,-48.2584269662921,-63.3136106707408,67.3069087170324
